Prokeep English / French Translations ,,,,,,
Purpose: Record the French translation of Prokeep ,,,,,,
,,,,,,
App Section,Sub Section,English,French,Spanish,Internal Notes,ID
,,Share Unclaimed message wait time,Partager le temps d'attente du message non-réclamé,Compartir el tiempo de espera para mensajes no atendidos,,settings-AddOrEditGroup-shareUnclaimed
,,Minutes,Minutes,Minutos,,settings-AddOrEditGroup-minutes
,,Share with the following groups:,Partager avec les groupes suivants,Compartir con los siguientes grupos:,,settings-AddOrEditGroup-shareWithGroups
,,Save,Enregistrer,Guardar,,settings-AddOrEditGroup-save
,,Success! New group created,Succès! Nouveau groupe créé,Éxito! Nuevo grupo creado.,,settings-AddOrEditGroup-successNewGroup
,,Success! Group settings updated,Succès! Paramètres du groupe mis à jour,Éxito! Ajuste de grupo actualizado.,,settings-AddOrEditGroup-successGroupSettings
,,There was an error,Il y a une erreur,Ha habido un error,,settings-AddOrEditGroup-error
,,Required.,Requis,Requerido.,,settings-AddOrEditGroup-required
,,Select at least 1 group.,Sélectionner au moins 1 groupe,Debe seleccionar al menos 1 grupo,,settings-AddOrEditGroup-selectGroup
,,,,,,
,Groups> [Group Name],Members,Membres,Miembros,,settings-GroupMembers-members
,,Groups,Groupes,Grupos,,settings-GroupMembers-groups
,,Add a member,Ajouter un membre,Agregar un miembro,,settings-GroupMembers-addMember
,,Delete this member from the group and remove them from all group records?,Supprimer ce membre du groupe et retirer de tous les enregistrements de groupe,¿Eliminar este miembro del grupo y removerlo de todos los registros del grupo?,,settings-GroupMembers-deleteMember
,,This action can not be undone,Cette action ne peut pas être annulée ,Esta acción no se puede deshacer,,settings-GroupMembers-actionSubtext
,,Delete,Supprimer ,Eliminar,,settings-GroupMembers-delete
,,Group Details,Détails du groupe,Detalles de grupo,,settings-GroupMembers-groupDetails
,,Edit,Modifier,Editar,,settings-GroupMembers-edit
,,Phone,Téléphone,Número,,settings-GroupMembers-phone
,,Sharing,Partagé,Compartir,,settings-GroupMembers-sharing
,,Disabled,Désactivé,Deshabilitado,,settings-GroupMembers-disabled
,,Enabled,Activé,Habilitado,,settings-GroupMembers-enabled
,,This group has no team members,Ce groupe n'a aucun membre d'équipe,Este grupo no tiene miembros,,settings-GroupMembers-noMembers
,,Add a team member,Ajouter un membre à l'équipe,Agregar un miembro al equipo,,settings-GroupMembers-addTeamMember
,,Member Already Added,Membre déjà ajouté,Miembro ya agregado,,settings-GroupMembers-alreadyAdded
,,Max 5 Members,Max 5 membres,Máximo 5 miembros,,settings-GroupMembers-max
,,There was an error.,Il y a une erreur,Ha habido un error,,settings-GroupMembers-error
,,Member removed successfully.,membre supprimé avec succès,El miembro ha sido removido correctamente.,,settings-GroupMembers-success
,,,,,,
,,Enter User Name,Entrer un nom d'utilisateur,Ingresar Nombre de Usuario,,modals-AddMember-enterName
,,Add a member,Ajouter un membre,Agregar un miembro,,modals-AddMember-addMember
,,Save,Enregister,Guardar,,modals-AddMember-save
,,Cancel,Annuler,Cancelar,,modals-AddMember-cancel
,,Add up to 5 team members at a time,Ajouter jusqu'à 5 membres d'équipe à la fois,Agregue hasta 5 miembros de equipo a la vez,,modals-AddMember-addFive
,,,,,,
,,,,,,
Settings,Customer Import,Customer Import,Importation clients,Importar Clientes,,settings-FirstReview-customerImport
,,Step 1 of 4: Download customer import template,Étapes 1 de 4: télécharger le modèle client,Paso 1 de 4: Descargar el modelo de plantilla de Importación de clientes,,settings-FirstReview-stepOne
,,Download Template,Télécharger le modèle,Descargar plantilla,,settings-FirstReview-downloadTemplate
,,"After you download, add the following for each customer:","Après avoir téléchargé, ajouter ce qui suit pour chaque client","Después de descargarla, agregar para cada cliente:",,settings-FirstReview-afterDownload
,,Company Name (Optional) - Company the contractor works for. It is OK to associate multiple contractors with the same company.,Nom de la compagnie (optionel)- La compagnie pour qui l'entrepreneur travaille. Il est possible d'associer plusieurs entrepreneurs à une compagnie ,Nombre Empresa (opcional): empresa para la que trabaja el contratista. Está bien asociar varios contratistas con la misma empresa,,settings-FirstReview-companyName
,,Company Number (Optional) - Typically the landline number of the company. It is OK to leave this blank.,Numéro de l'entreprise (optionel)- En général le numéro fixe de l'entreprise. Vous pouvez laisser cet espace vide,"Número Empresa (opcional): normalmente, el número de teléfono fijo de la empresa. Está bien dejar este espacio en blanco.",,settings-FirstReview-companyNumber
,,Company Account Number (Optional) - An identifier used within your company to refer to this customer account.,Numéro de compte de l'entreprise (Optionel)- Un identifiant utilisé dans votre entreprise pour faire référence à ce compte client,Numero de cuenta de la compania (Opcional) Un identificador utilizado dentro de su empresa para hacer referencia a esta cuenta de cliente.,,settings-FirstReview-accountNumber
,,First Name (Required) - First name of contractor.,Prénom (Obligatoire) - Prénom de l'entrepreneur,Nombre (Requerido) - Nombre del contratista,,settings-FirstReview-firstName
,,Last Name (Optional) - Last name of contractor.,Nom (Optionel) - Nom de l'entrepreneur,Apellido (Opcional) - Apellido del contratista,,settings-FirstReview-lastName
,,Cell Number (Required) - Cell number of contractor.,Cellulaire ( Obligatoire)- Nom de l'entrepreneur,"Número de celda (obligatorio): número de celda del contratista.
",,settings-FirstReview-cellNumber
,,Email (Optional) - Email of contractor.,Courriel (Optionel)- Courriel de l'entrepreneur,"Correo electrónico (opcional): correo electrónico del contratista.
",,settings-FirstReview-email
,,Account Rep (Optional) - Type the username (email address) of the Prokeep user who is responsible for the contractor.,Représentant de compte (Optionel)- Saisissez le nom d'utilisateur (courriel) de Prokeep qui est responsable du contractant,Representante de cuenta (opcional): escriba el nombre de usuario (dirección de correo electrónico) del usuario de ProKeep que es responsable del contratista.,,settings-FirstReview-accountRep
,,Prioritize Account Rep (Optional) - Please mark an X if the Account Rep should receive the contractor's incoming messages before the Shared Inbox.,Prioriser le représentant de compte (Optionel)- Veuillez marquer un  X si le représentant de compte devrait recevoir les messages entrant de l'entrepreneur avant la boîte de réception partagée,Priorizar al representante de la cuenta (opcional): marque una X si el representante de la cuenta debe recibir los mensajes entrantes del contratista previamente que  la bandeja de entrada compartida.,,settings-FirstReview-prioritizeRep
,,Please mark an X under the group that the contact is associated with.,Veuillez marquer un X dans le groupe auquel le contact est associé,"Marque una X debajo del grupo al que está asociado el contacto.
",,settings-FirstReview-markX
,,"After you finish adding customers, save and close the template and continue to the next step.","Après  avoir terminé d'ajouter les clients, enregistrez et fermez le fichier et passez à l'étape suivante","Una vez que termine de agregar clientes, guarde y cierre la plantilla y continúe con el siguiente paso.
",,settings-FirstReview-afterFinishAdding
,,Customer Import,Importation clients,Importación de clientes,,settings-CustomerImport-customerImport
,,Step 2 of 4: Import your customers,Étape 2 de 4: Importer le fichier clients,Paso 2 de 4: Importar clientes,,settings-CustomerImport-step2
,,Select the template where you added customer information.,Sélectionnez le fichier dans lequel vous avez ajouté les informations du client,Seleccionar la plantilla donde se ha agregado la información de los clientes.,,settings-CustomerImport-selectTemplate
,,Select template for import,Selectionnez fichier pour importer,Seleccionar plantilla para importar,,settings-CustomerImport-selectTemplateImport
,,Browse Files,Parcourir les fichiers,Buscar Archivos,,settings-ExcelUploader-browseFiles
,,Back,Revenir en arrière,Atrás,,settings-Layout-back
,,Continue,Continuez,Continuar,,settings-withCustomerImportLayout-continue
,,An error occurred.,Une erreur s'est produite,Ha habido un error,,settings-withCustomerImportLayout-error
,,The selected file is missing the {singularOrPlural}: {missingColumns},"Dans le fichier selectionné, il manque la {singularOrPlural}: {missingColumns}",Al archivo seleccionado le faltan {singularOrPlural}: {missingColumns},column or columns will dynamically be included,settings-withCustomerImportLayout-missingColumn
,,You are not authorized to add contacts to the {singularOrPlural}: {unauthorizedGroupColumns},Vous n'êtes pas autorisé d'ajouter des contacts dans le {singluarOrPlural}: {unauthorizedGroupColumns},Usted no esta autorizado a agregar contactos al  {singularOrPlural}: {unauthorizedGroupColumns},group or groups will be rendered dynamically,settings-withCustomerImportLayout-notAuthorizedGroup
,,You are not authorized to alter data for the {singularOrPlural}: {unauthorizedColumns},Vous n'êtes pas autorisé de changer les donnèes pour la {singularOrPlural}: {unauthorizedColumns},Usted no está autorizado a modificar datos para la  {singularOrPlural}: {unauthorizedColumns},column or columns will dynamically be included,settings-withCustomerImportLayout-notAuthorizedColumn
,,group,groupe,grupo,,settings-withCustomerImportLayout-group
,,groups,groupes,grupos,,settings-withCustomerImportLayout-groups
,,column,colonne,columna,,settings-withCustomerImportLayout-column
,,columns,colonnes,columnas,,settings-withCustomerImportLayout-columns
,,Customer Import,Importation clients,Importar clientes,,settings-ColumnsReview-customerImport
,,Column Header,En-tête de colonne,Encabezado de Columna,,settings-ColumnsReview-columnHeader
,,Example Values,Exemple de valeurs,Valores de Ejemplo,,settings-ColumnsReview-exampleValues
,,Step 3 of 4: Check columns,Étape 3 de 4: Vérifier colonnes,Paso 3 de 4: Revisar columnas,,settings-ColumnsReview-step3
,,"Check that the <em>Example Values</em> from your template match the <em>Column Header</em>. If they do not match, cancel the import process and return to the template and ensure column values match the column header.","Vérifier que <em>Exemples de valeurs</em> de votre fichier correspond à l'en-tête de colonne. Si elles ne correspondent pas, annulez le processus d'importation et revenez au modèle et assurez-vous que les valeurs de la colonne correspond à l'en-tête de colonne","Compruebe que los <em> valores de ejemplo </el> de su plantilla coincida con el encabezado de columna. Si no coinciden, cancele el proceso de importación y vuelva a la plantilla y asegúrese de que los valores de la columna coincida con el encabezado de la columna.
",,settings-ColumnsReview-checkExampleValues
,,Save & continue,Enregistrer et continuer,Guardar y continuar,,settings-withCustomerReviewLayout-saveContinue
,,Customer Import,Importation clients,Importación de clientes,,settings-FinalReview-customerImport
,,Step 4 of 4: Review,Étape 4 de 4: Révision,Paso 4 de 4: revisión,,settings-FinalReview-step4
,,Please confirm import by pressing <em>Continue</em> below.,Veuillez confirmer l'importation en appuyant sur <em>Continuer</em> ci-dessous,Confirme la importación presionando <em> Continuar</em> a continuacion,,settings-FinalReview-pleaseConfirm
,,"Prokeep will then import all new customers. If there are rows with errors, you can either Cancel Import, address the rows with errors, and restart the process OR you can press <em>Continue</em> and import all rows that do not report an error.","Prokeep importera tous les nouveaux clients. Si il y a des rangées avec des erreurs, vous pouvez soit annuler l'importation, revoir les rangées avec les erreurs, et recommer le processus OU vous pouvez appuyer sur Continuer et importer toutes les rangées sans erreur. ","Prokeep importará mas tarde todos los nuevos clientes. Si existen filas con errores, puede cancelar la importación, corregir las filas con errores y reiniciar el proceso o puede presionar Continuar e importar todas las filas que no informan un error.
",,settings-FinalReview-prokeepImportNewCustomers
,,Customers to Import,Clients à importer,Clientes a Importar,,settings-FinalReview-customersToImport
,,Rows with Errors,Rangées avec erreur,Filas con errores,,settings-FinalReview-rowsWithErrors
,,None,Aucun,Ninguno,,settings-FinalReview-none
,,Import,Importer,Importar,,settings-withFinalReviewLayout-import
,,We imported {results} {contactText} and skipped {errors} because of errors.,Nous avons importé  {results} {contactText} et sauter  {errors} à cause des erreurs,Importamos {results} {contactText} y omitimos {errors} debido a errores.,Could include numbers instead of 'no' and 'none',settings-FinalMessage-imported
,,Import complete,Importation complète,Importación completa,,settings-FinalMessage-importComplete
,,customer,Clients,cliente,,settings-FinalMessage-customer
,,customers,Clients,clientes,,settings-FinalMessage-customers
,,none,Aucun,ninguno,,settings-FinalMessage-none
,,no,non,no,,settings-FinalMessage-no
,,Customer Import,Importation clients,Importar clientes,,settings-FinalMessage-customerImport
,,Importing customers,Importation des clients ,Importando clientes,,settings-FinalReview-importingCustomers
,,We are importing your customers now. This process may take a few minutes. The screen will refresh when the process is complete.,Nous importons les clients maintenant. Ce processus peut prendre quelques minutes. L'écran s'actualisera lorsque le processus sera terminé,Estamos importando a sus clientes ahora. Este proceso puede tardar unos minutos. La pantalla se actualizará cuando se complete el proceso.,,settings-FinalReview-importingNow
,,"Unable to import customers at this time, please try again later.","Impossible d'importer des clients à l'instant, essayez plus tard","No ha sido posible importar los clientes en este momento, inténtelo de nuevo más tarde.",,settings-withFinalReviewLayout-unableToImport
,,The selected file is not valid.,Le fichier séléctionné est invalide,El archivo seleccionado no es válido.,,settings-withCustomerImportLayout-notValid
,,Importing,Importation,Importando.,,settings-FinalMessage-importing
Settings,After Hours Message,After Hours Message,Message après les heures d'ouverture,Mensaje fuera de horario.,,settings-ManagersIntermediatePage-afterHoursMessage
,,After Hours Message,Message après les heures d'ouverture,Mensaje fuera de horario.,,settings-EnableAwayMessagePage-afterHoursMessage
,,Status,Statut,Estado,,settings-ManagersIntermediatePage-status
,,Group,Groupe,Grupo,,settings-ManagersIntermediatePage-group
,,Disabled,Désactivé,Deshabilitado,,settings-ManagersIntermediatePage-disabled
,,Active,Actif,Activo,,settings-ManagersIntermediatePage-active
,,,,,,
,After Hours Message > Group,Enable After Hours Message,Activer le message après les heures d'ouverture,Habilitar mensajes fuera de horario,,settings-AfterHoursDashboard-enableMessage
,,Save,Enregistrer,guardar,,settings-AfterHoursDashboard-save
,,Send this message after business hours,Envoyer ce message apres les heures ouvertures,Enviar este mensaje fuera del horario laboral,,settings-AfterHoursDashboard-sendAfterBusinessHours
,,Message preview,Aperçu du message,Vista previa del mensaje,,settings-AfterHoursDashboard-messagePreview
,,"You've reached us outside of business hours. Our hours are 7am-6pm Mon-Sat. If your request is urgent, please call (503) 923-3485.","Vous nous avez contacté en dehors de nos heures d'ouverture. Nos heures sont de 7am-6pm du Lundi au samedi. Si votre demande est urgente, téléphonez au (503)-923-03485","Se ha comunicado con nosotros fuera del horario laboral. Nuestro horario es de 7 am a 6 pm de lunes a sábado. Si su solicitud es urgente, llame al (503) 923-3485.
",,settings-AfterHoursDashboard-placeholderMessage
,,Group Time Zone,Fuseau horaire du groupe,Zona horaria del grupo,,settings-AfterHoursDashboard-groupTimeZone
,,Central Time,Heure du centre,Hora Central,,settings-AfterHoursDashboard-centralTime
,,Mountain Time,Heure du montagne ,Hora Montaña,,settings-AfterHoursDashboard-mountainTime
,,Pacific Time,Heure du pacifique,Hora Pacifico,,settings-AfterHoursDashboard-pacificTime
,,Atlantic Time,Heure de l'Atlantique,Hora Atlántico,,settings-AfterHoursDashboard-atlanticTime
,,Saskatchewan,Saskatchewan,Saskatchewan,,settings-AfterHoursDashboard-saskatchewan
,,Newfoundland,Newfoundland,Newfoundland,,settings-AfterHoursDashboard-newfoundland
,,Eastern Time,Heure de l'Est,Hora del Este,,settings-AfterHoursDashboard-easternTime
,,Arizona,Arizona,Arizona,,settings-AfterHoursDashboard-arizona
,,Alaska,Alaska,Alaska,,settings-AfterHoursDashboard-alaska
,,Hawaii,Hawaii,Hawaii,,settings-AfterHoursDashboard-hawaii
,,Open,Ouvert,Abierto,,settings-AfterHoursDashboard-open
,,Closed,Fermé,Cerrado,,settings-AfterHoursDashboard-closed
,,Away message is required,Un message d'absence est requis,mensaje de fuera de la oficina requerido,,settings-AfterHoursDashboard-awayMessage
,,Open,Ouvert,Abierto,,settings-BusinessHours-open
,,Closed,Fermé,Cerrado,,settings-BusinessHours-closed
